id,ad,education,ofjobs,yearsexp,honors,volunteer,military,empholes,occupspecific,occupbroad,workinschool,email,computerskills,specialskills,firstname,sex,race,h,l,call,city,kind,adid,fracblack,fracwhite,lmedhhinc,fracdropout,fraccolp,linc,col,expminreq,schoolreq,eoe,parent_sales,parent_emp,branch_sales,branch_emp,fed,fracblack_empzip,fracwhite_empzip,lmedhhinc_empzip,fracdropout_empzip,fraccolp_empzip,linc_empzip,manager,supervisor,secretary,offsupport,salesrep,retailsales,req,expreq,comreq,educreq,compreq,orgreq,manuf,transcom,bankreal,trade,busservice,othservice,missind,ownership
b,1,4,2,4,0,0,0,0,21,1,1,0,1,0,Carrie,f,w,0,1,0,c,a,388,0.9894956,0.0048631,9.474319,0.2574096,0.0481538,8.69768,1,,,1,18.4,55,,,0,0.0040303,0.9264852,11.12976,0.0498308,0.3947656,10.5187,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,Private
b,1,4,2,5,0,1,0,0,263,4,0,1,0,1,Aisha,f,b,1,0,0,c,s,389,0.9770772,0.0140997,10.03206,0.2312489,0.0547542,8.879333,1,,,1,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
b,1,1,3,4,0,0,0,0,316,6,0,0,1,1,Geoffrey,m,w,0,1,0,c,s,389,0.9894956,0.0048631,9.474319,0.2574096,0.0481538,8.69768,0,,,1,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
b,1,4,3,5,0,1,0,0,268,4,1,1,0,0,Matthew,m,w,1,0,0,c,s,389,0.0513542,0.8910931,10.63106,0.0744309,0.5424735,10.56005,1,,,1,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
b,1,4,3,6,0,0,0,0,267,4,0,0,0,1,Tamika,f,b,0,1,0,c,s,389,0.1988235,0.5691676,10.06828,0.1397114,0.2880133,9.647498,1,,,1,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
b,1,4,2,6,1,1,0,0,266,4,1,1,0,1,Jill,f,w,1,0,0,c,s,390,,,,,,,1,,,0,77.7,850,,,0,0.0076596,0.9522181,10.87644,0.0594899,0.323507,10.03228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
b,1,2,2,8,0,0,0,1,265,4,0,0,0,0,Latonya,f,b,0,1,0,c,s,390,0.8321389,0.1387261,9.692643,0.2177924,0.1583671,9.240676,0,,,0,77.7,850,,,0,0.0076596,0.9522181,10.87644,0.0594899,0.323507,10.03228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
b,1,4,3,4,0,1,0,0,316,6,1,1,1,1,Leroy,m,b,1,0,0,c,s,390,0.1988235,0.5691676,10.06828,0.1397114,0.2880133,9.647498,1,,,0,77.7,850,,,0,0.0076596,0.9522181,10.87644,0.0594899,0.323507,10.03228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
b,1,4,3,3,0,0,0,0,317,6,0,0,1,1,Todd,m,w,0,1,0,c,s,390,0.3361651,0.6373696,10.43191,0.1088479,0.4065759,10.41214,1,,,0,77.7,850,,,0,0.0076596,0.9522181,10.87644,0.0594899,0.323507,10.03228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
b,1,2,2,2,0,0,0,0,265,4,0,0,0,0,Allison,f,w,0,1,0,c,s,392,0.002175,0.7892668,10.24786,0.299457,0.0711788,9.366147,0,,somcol,0,,,,,0,,,,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,
b,1,4,3,7,0,0,0,1,313,5,0,0,1,0,Carrie,f,w,0,1,0,c,a,391,0.2707331,0.549156,10.06199,0.1487236,0.2423275,9.438432,1,some,colp,0,2092.5,8667,,,1,0.8321389,0.1387261,9.692643,0.2177924,0.1583671,9.240676,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,Nonprofit
b,1,4,3,3,0,1,0,0,316,6,0,1,1,1,Greg,m,w,1,0,0,c,s,392,0.1814695,0.5718328,10.21782,0.2580027,0.0734085,9.191566,1,,somcol,0,,,,,0,,,,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,
b,1,4,4,6,0,0,0,1,313,5,1,0,1,0,Keisha,f,b,0,1,0,c,a,391,0.454303,0.2714492,9.895607,0.2481415,0.1511719,9.291091,1,some,colp,0,2092.5,8667,,,1,0.8321389,0.1387261,9.692643,0.2177924,0.1583671,9.240676,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,Nonprofit
b,1,1,3,4,0,1,0,0,316,6,0,1,1,1,Keisha,f,b,1,0,0,c,s,392,0.6911068,0.1563228,10.09963,0.2281576,0.0509336,8.959954,0,,somcol,0,,,,,0,,,,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,
b,1,3,4,6,0,1,0,1,313,5,0,1,1,1,Kristen,f,w,1,0,0,c,a,391,0.1599502,0.3477668,9.841772,0.3047986,0.0369773,8.81031,0,some,colp,0,2092.5,8667,,,1,0.8321389,0.1387261,9.692643,0.2177924,0.1583671,9.240676,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,Nonprofit
b,1,3,3,7,0,0,0,0,313,5,1,1,1,0,Lakisha,f,b,1,0,0,c,a,391,0.0513542,0.8910931,10.63106,0.0744309,0.5424735,10.56005,0,some,colp,0,2092.5,8667,,,1,0.8321389,0.1387261,9.692643,0.2177924,0.1583671,9.240676,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,Nonprofit
b,1,4,3,2,0,0,0,0,317,6,0,0,1,1,Tamika,f,b,0,1,0,c,s,392,0.6911068,0.1563228,10.09963,0.2281576,0.0509336,8.959954,1,,somcol,0,,,,,0,,,,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,
b,1,2,2,6,0,0,0,0,189,1,0,0,1,0,Allison,f,w,0,1,0,c,a,393,0.0807357,0.8883739,10.40883,0.2336868,0.0872854,9.532859,0,,,0,,,,,,0.1988235,0.5691676,10.06828,0.1397114,0.2880133,9.647498,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
b,1,3,4,6,0,0,0,0,185,1,1,0,1,0,Keisha,f,b,0,1,0,c,a,393,0.1988235,0.5691676,10.06828,0.1397114,0.2880133,9.647498,0,,,0,,,,,,0.1988235,0.5691676,10.06828,0.1397114,0.2880133,9.647498,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
b,1,3,2,9,0,1,0,1,255,3,0,1,1,0,Kristen,f,w,1,0,0,c,a,393,0.1097484,0.5074464,9.869258,0.2993383,0.0941143,9.028338,0,,,0,,,,,,0.1988235,0.5691676,10.06828,0.1397114,0.2880133,9.647498,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
b,1,4,3,6,1,0,0,1,323,6,1,1,1,0,Latonya,f,b,1,0,0,c,a,393,0.5121824,0.2988992,9.66288,0.257438,0.0357846,8.733272,1,,,0,,,,,,0.1988235,0.5691676,10.06828,0.1397114,0.2880133,9.647498,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
b,1,2,2,4,0,0,0,0,265,4,0,0,0,0,Brad,m,w,0,1,0,c,s,395,0.7046454,0.2521641,10.00487,0.1506685,0.3019941,9.668208,0,,,0,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
b,1,3,3,5,0,1,0,0,379,6,1,1,1,0,Jill,f,w,1,0,0,c,a,394,0.2707331,0.549156,10.06199,0.1487236,0.2423275,9.438432,0,3,,1,4,30,4,30,0,0.0040303,0.9264852,11.12976,0.0498308,0.3947656,10.5187,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,Private
b,1,4,3,4,0,0,0,1,313,5,0,0,1,0,Keisha,f,b,0,1,0,c,a,394,0.3975947,0.1801956,9.876219,0.3128728,0.0308469,8.728264,1,3,,1,4,30,4,30,0,0.0040303,0.9264852,11.12976,0.0498308,0.3947656,10.5187,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,Private
b,1,4,3,3,0,0,0,0,317,6,0,0,0,1,Keisha,f,b,0,1,0,c,s,395,0.9770772,0.0140997,10.03206,0.2312489,0.0547542,8.879333,1,,,0,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
b,1,3,3,4,0,1,1,0,316,6,1,1,1,0,Lakisha,f,b,1,0,0,c,a,394,0.217249,0.4957734,9.965053,0.1972654,0.2234298,9.422949,0,3,,1,4,30,4,30,0,0.0040303,0.9264852,11.12976,0.0498308,0.3947656,10.5187,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,Private
b,1,4,3,5,0,1,0,0,267,4,1,1,0,1,Laurie,f,w,1,0,0,c,s,395,0.0027957,0.9521402,10.4536,0.2364453,0.1249801,9.621058,1,,,0,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
b,1,4,2,5,1,0,0,1,313,5,0,0,1,0,Meredith,f,w,0,1,0,c,a,394,0.1043005,0.8373702,10.46675,0.1013347,0.5916955,10.54033,1,3,,1,4,30,4,30,0,0.0040303,0.9264852,11.12976,0.0498308,0.3947656,10.5187,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,Private
b,1,4,3,5,0,1,0,0,17,1,1,1,0,1,Tyrone,m,b,1,0,0,c,s,395,0.5308703,0.2944415,10.24406,0.2161737,0.0943481,9.266626,1,,,0,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
b,1,4,4,7,0,1,0,1,195,1,0,1,1,0,Anne,f,w,1,0,0,c,a,396,0.1097484,0.5074464,9.869258,0.2993383,0.0941143,9.028338,1,2,colp,0,,,,,,,,,,,,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,
b,1,4,4,6,0,0,0,0,185,1,1,0,1,0,Emily,f,w,0,1,0,c,a,396,0.1029527,0.7295252,10.29255,0.2302787,0.0870971,9.384545,1,2,colp,0,,,,,,,,,,,,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,
b,1,4,4,5,0,0,0,1,329,6,0,0,1,1,Latoya,f,b,0,1,0,c,a,396,0.0760194,0.4409085,9.986772,0.2752773,0.0847961,9.041803,1,2,colp,0,,,,,,,,,,,,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,
b,1,3,2,7,0,1,0,1,255,3,0,1,1,0,Tamika,f,b,1,0,0,c,a,396,0.8321389,0.1387261,9.692643,0.2177924,0.1583671,9.240676,0,2,colp,0,,,,,,,,,,,,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,
b,1,0,2,4,0,1,0,1,13,1,0,1,1,1,Brad,m,w,1,0,0,c,s,397,0.0027957,0.9521402,10.4536,0.2364453,0.1249801,9.621058,0,,,0,,,,,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
b,1,4,3,5,0,1,0,0,17,1,1,1,0,1,Latoya,f,b,1,0,0,c,s,397,0.0807357,0.8883739,10.40883,0.2336868,0.0872854,9.532859,1,,,0,,,,,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
b,1,4,3,4,0,0,0,1,313,5,0,0,1,0,Kristen,f,w,0,1,0,c,a,398,0.1029527,0.7295252,10.29255,0.2302787,0.0870971,9.384545,1,,,0,217.1,1074,,,0,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Public
b,1,4,3,5,0,0,0,0,337,6,1,1,1,1,Latonya,f,b,1,0,0,c,a,398,0.454303,0.2714492,9.895607,0.2481415,0.1511719,9.291091,1,,,0,217.1,1074,,,0,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Public
b,1,4,4,6,0,0,0,1,313,5,1,0,1,0,Latoya,f,b,0,1,0,c,a,398,0.8321389,0.1387261,9.692643,0.2177924,0.1583671,9.240676,1,,,0,217.1,1074,,,0,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Public
b,1,4,3,6,0,1,0,0,313,5,1,1,1,0,Laurie,f,w,1,0,0,c,a,398,0.0164866,0.7449895,10.24242,0.2381955,0.1385737,9.446835,1,,,0,217.1,1074,,,0,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Public
b,1,4,5,13,0,0,0,1,326,6,1,0,1,1,Allison,f,w,0,1,0,c,a,399,0.454303,0.2714492,9.895607,0.2481415,0.1511719,9.291091,1,some,,0,,,,,0,0.125,0.875,11.81431,0,0.8928571,11.36244,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Private
b,1,4,2,19,1,0,0,1,313,5,0,0,1,1,Ebony,f,b,0,1,0,c,a,399,0.0164866,0.7449895,10.24242,0.2381955,0.1385737,9.446835,1,some,,0,,,,,0,0.125,0.875,11.81431,0,0.8928571,11.36244,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Private
b,1,2,3,5,0,1,0,0,365,6,1,1,0,0,Jay,m,w,1,0,0,c,s,400,0.1599502,0.3477668,9.841772,0.3047986,0.0369773,8.81031,0,some,,0,,840,,840,1,,,,,,,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Private
b,1,4,5,7,0,0,1,1,34,1,0,1,1,1,Keisha,f,b,1,0,0,c,a,399,0.9487666,0.0330411,10.29577,0.18482,0.100121,9.191259,1,some,,0,,,,,0,0.125,0.875,11.81431,0,0.8928571,11.36244,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Private
b,1,4,4,21,0,0,0,1,34,1,1,1,1,0,Laurie,f,w,1,0,0,c,a,399,0.9894956,0.0048631,9.474319,0.2574096,0.0481538,8.69768,1,some,,0,,,,,0,0.125,0.875,11.81431,0,0.8928571,11.36244,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Private
b,1,2,3,5,0,1,0,0,22,1,1,1,0,1,Tyrone,m,b,1,0,0,c,s,400,0.1043005,0.8373702,10.46675,0.1013347,0.5916955,10.54033,0,some,,0,,840,,840,1,,,,,,,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Private
b,1,4,4,4,0,0,0,1,229,6,1,0,1,1,Anne,f,w,0,1,0,c,a,401,0.9714688,0.0240715,9.92974,0.1700175,0.1496929,9.321793,1,,somcol,1,,,,,,0.0899563,0.8628821,10.98727,0.0279476,0.6067685,10.97898,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,Nonprofit
b,1,4,3,5,0,0,0,0,337,6,1,1,1,1,Lakisha,f,b,1,0,0,c,a,401,0.002175,0.7892668,10.24786,0.299457,0.0711788,9.366147,1,,somcol,1,,,,,,0.0899563,0.8628821,10.98727,0.0279476,0.6067685,10.97898,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,Nonprofit
b,1,4,4,6,0,0,0,0,185,1,1,0,1,0,Latonya,f,b,0,1,0,c,a,401,0.05236,0.7863585,10.43556,0.1301121,0.2843148,9.743378,1,,somcol,1,,,,,,0.0899563,0.8628821,10.98727,0.0279476,0.6067685,10.97898,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,Nonprofit
b,1,3,3,5,0,1,0,0,379,6,1,1,1,0,Meredith,f,w,1,0,0,c,a,401,0.05236,0.7863585,10.43556,0.1301121,0.2843148,9.743378,0,,somcol,1,,,,,,0.0899563,0.8628821,10.98727,0.0279476,0.6067685,10.97898,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,Nonprofit
b,1,0,2,5,0,1,0,0,13,1,0,1,1,1,Allison,f,w,1,0,0,c,s,403,0.9714688,0.0240715,9.92974,0.1700175,0.1496929,9.321793,0,,,0,,,,,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
b,1,4,2,6,0,0,0,0,189,1,0,0,0,0,Carrie,f,w,0,1,0,c,a,402,0.5308703,0.2944415,10.24406,0.2161737,0.0943481,9.266626,1,,,1,15,90,,,0,0.0020481,0.8693543,10.45579,0.2068018,0.1005713,9.564723,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Private
b,1,4,3,6,0,1,0,0,268,4,1,1,0,0,Ebony,f,b,1,0,0,c,s,403,0.8321389,0.1387261,9.692643,0.2177924,0.1583671,9.240676,1,,,0,,,,,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
b,1,4,4,6,0,0,0,1,329,6,0,0,1,1,Kenya,f,b,0,1,0,c,a,402,0.1166239,0.7283393,10.28705,0.1398428,0.3656361,9.933725,1,,,1,15,90,,,0,0.0020481,0.8693543,10.45579,0.2068018,0.1005713,9.564723,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Private
b,1,4,3,6,1,0,0,1,323,6,1,1,1,0,Lakisha,f,b,1,0,0,c,a,402,0.9920427,0.0048143,8.841738,0.2950934,0.0531817,8.507345,1,,,1,15,90,,,0,0.0020481,0.8693543,10.45579,0.2068018,0.1005713,9.564723,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Private
b,1,3,3,4,0,1,1,0,316,6,1,1,1,0,Laurie,f,w,1,0,0,c,a,402,0.6911068,0.1563228,10.09963,0.2281576,0.0509336,8.959954,0,,,1,15,90,,,0,0.0020481,0.8693543,10.45579,0.2068018,0.1005713,9.564723,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Private
b,1,4,4,8,0,1,0,1,195,1,0,1,1,0,Aisha,f,b,1,0,0,c,a,404,0.1988235,0.5691676,10.06828,0.1397114,0.2880133,9.647498,1,,,0,1166,10000,14.3,175,0,0.0197221,0.7992656,10.71482,0.0976606,0.3187502,9.934404,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,Private
b,1,4,4,5,0,0,0,1,229,6,1,0,1,0,Anne,f,w,0,1,0,c,a,404,0.014517,0.9736754,10.56558,0.1162028,0.1564758,9.718663,1,,,0,1166,10000,14.3,175,0,0.0197221,0.7992656,10.71482,0.0976606,0.3187502,9.934404,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,Private
b,1,4,2,5,0,1,0,0,13,1,0,1,0,1,Brendan,m,w,1,0,0,c,s,405,0.5308703,0.2944415,10.24406,0.2161737,0.0943481,9.266626,1,,,1,,,,,0,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
b,1,1,3,5,0,1,0,0,316,6,0,1,1,1,Hakim,m,b,1,0,0,c,s,405,0.0034187,0.9049973,10.31092,0.2138021,0.1422275,9.557964,0,,,1,,,,,0,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
b,1,3,4,6,0,0,0,0,185,1,1,0,1,0,Latoya,f,b,0,1,0,c,a,404,0.6911068,0.1563228,10.09963,0.2281576,0.0509336,8.959954,0,,,0,1166,10000,14.3,175,0,0.0197221,0.7992656,10.71482,0.0976606,0.3187502,9.934404,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,Private
b,1,4,2,5,0,0,0,0,263,4,0,0,0,1,Laurie,f,w,0,1,0,c,s,405,0.9545974,0.0428035,10.27677,0.1974444,0.1093796,9.304468,1,,,1,,,,,0,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
b,1,3,3,3,0,1,1,0,316,6,1,1,1,0,Laurie,f,w,1,0,0,c,a,404,0.3361651,0.6373696,10.43191,0.1088479,0.4065759,10.41214,0,,,0,1166,10000,14.3,175,0,0.0197221,0.7992656,10.71482,0.0976606,0.3187502,9.934404,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,Private
b,1,4,3,4,0,0,0,0,316,6,0,0,1,1,Leroy,m,b,0,1,0,c,s,405,0.5121824,0.2988992,9.66288,0.257438,0.0357846,8.733272,1,,,1,,,,,0,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
b,1,4,3,12,0,1,0,0,313,5,1,1,1,0,Anne,f,w,1,0,0,c,a,406,0.1988235,0.5691676,10.06828,0.1397114,0.2880133,9.647498,1,2,,1,7.9,90,,,0,0,0.8434175,10.80037,0.1063621,0.2674413,9.944342,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,Private
b,1,3,3,11,0,1,0,0,379,6,1,1,1,0,Kenya,f,b,1,0,0,c,a,406,0.9885199,0.0081485,10.11257,0.1938371,0.1450534,9.372459,0,2,,1,7.9,90,,,0,0,0.8434175,10.80037,0.1063621,0.2674413,9.944342,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,Private
b,1,4,2,9,1,0,0,1,313,5,0,0,1,0,Latonya,f,b,0,1,0,c,a,406,0.9714688,0.0240715,9.92974,0.1700175,0.1496929,9.321793,1,2,,1,7.9,90,,,0,0,0.8434175,10.80037,0.1063621,0.2674413,9.944342,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,Private
b,1,4,3,10,0,0,0,1,313,5,0,0,1,0,Meredith,f,w,0,1,0,c,a,406,0.6911068,0.1563228,10.09963,0.2281576,0.0509336,8.959954,1,2,,1,7.9,90,,,0,0,0.8434175,10.80037,0.1063621,0.2674413,9.944342,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,Private
b,1,4,4,5,0,0,0,1,27,1,0,0,1,1,Jamal,m,b,0,1,0,c,a,407,0.3361651,0.6373696,10.43191,0.1088479,0.4065759,10.41214,1,3,colp,0,133.4,0,133.4,0,0,0.125,0.875,11.81431,0,0.8928571,11.36244,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,Nonprofit
b,1,4,4,4,0,1,0,1,379,6,0,1,1,1,Matthew,m,w,1,0,0,c,a,407,0.1097484,0.5074464,9.869258,0.2993383,0.0941143,9.028338,1,3,colp,0,133.4,0,133.4,0,0,0.125,0.875,11.81431,0,0.8928571,11.36244,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,Nonprofit
